_id,date,amount,description,category,subcategory,file,_manual,_business
0,30/01/2026,-8050.94,"PAYMENT TO MOODIE STEVEN JAMES",Financial & Insurance,Home loan,ANZ Joint Offset 2026-01.csv,false,false
1,28/01/2026,3500.00,"PAYMENT FROM Hawkins E A",_ignore,,ANZ Joint Offset 2026-01.csv,false,false
2,15/01/2026,-9775.00,"ANZ M-BANKING FUNDS TFER TRANSFER 279885  TO 4564X",Financial & Insurance,Transfer,ANZ Joint Offset 2026-01.csv,false,false
3,14/01/2026,6000.00,"PAYMENT FROM Hawkins E A",_ignore,,ANZ Joint Offset 2026-01.csv,false,false
4,09/01/2026,-10.00,"ACCOUNT SERVICING FEE",Financial & Insurance,Bank fees,ANZ Joint Offset 2026-01.csv,false,false
5,07/01/2026,43.90,"EFTPOS MEDICARE BENEFIT",Income,Health insurance reimbursement,ANZ Joint Offset 2026-01.csv,false,false
6,25/02/2026,3300.00,"PAYMENT FROM Hawkins E A",_ignore,,ANZ Joint Offset 2026-02.csv,false,false
7,11/02/2026,-10.00,"ACCOUNT SERVICING FEE",Financial & Insurance,Bank fees,ANZ Joint Offset 2026-02.csv,false,false
8,11/02/2026,4000.00,"PAYMENT FROM Hawkins E A",_ignore,,ANZ Joint Offset 2026-02.csv,false,false
9,29/01/2026,-150.00,"ANZ INTERNET BANKING PAYMENT 858073 TO ELLA MOODIE",Children,Child support payment,ANZ Offset 2026-01.csv,false,false
10,29/01/2026,6350.03,"PAY/SALARY FROM TALENT INTERNATI 500011896",Income,Your take-home pay,ANZ Offset 2026-01.csv,false,false
11,22/01/2026,-150.00,"ANZ INTERNET BANKING PAYMENT 687595 TO ELLA MOODIE",Children,Child support payment,ANZ Offset 2026-01.csv,false,false
12,22/01/2026,-26.00,"ANZ MOBILE BANKING PAYMENT 844618 TO ELLA MOODIE",Children,Child support payment,ANZ Offset 2026-01.csv,false,false
13,20/01/2026,-100.00,"ANZ MOBILE BANKING PAYMENT 501243 TO ELLA MOODIE",Children,Child support payment,ANZ Offset 2026-01.csv,false,false
14,15/01/2026,-150.00,"ANZ INTERNET BANKING PAYMENT 272737 TO ELLA MOODIE",Children,Child support payment,ANZ Offset 2026-01.csv,false,false
15,15/01/2026,3944.24,"PAY/SALARY FROM TALENT INTERNATI 500011896",Income,Your take-home pay,ANZ Offset 2026-01.csv,false,false
16,13/01/2026,-402.04,"PAYMENT TO BUPA AUSTRALIA   661368390000187000",Financial & Insurance,Health insurance,ANZ Offset 2026-01.csv,false,false
17,08/01/2026,-150.00,"ANZ INTERNET BANKING PAYMENT 975600 TO ELLA MOODIE",Children,Child support payment,ANZ Offset 2026-01.csv,false,false
18,02/01/2026,-150.00,"ANZ INTERNET BANKING PAYMENT 795103 TO ELLA MOODIE",Children,Child support payment,ANZ Offset 2026-01.csv,false,false
19,26/02/2026,-421.30,"ANZ INTERNET BANKING BPAY TMR REG RENEW 4817      ",Car & Transport,Rego & licence,ANZ Offset 2026-02.csv,false,false
20,26/02/2026,-150.00,"ANZ INTERNET BANKING PAYMENT 258399 TO ELLA MOODIE",Children,Child support payment,ANZ Offset 2026-02.csv,false,false
21,26/02/2026,6350.03,"PAY/SALARY FROM TALENT INTERNATI 500011896",Income,Your take-home pay,ANZ Offset 2026-02.csv,false,false
22,19/02/2026,-150.00,"ANZ INTERNET BANKING PAYMENT 735869 TO ELLA MOODIE",Children,Child support payment,ANZ Offset 2026-02.csv,false,false
23,16/02/2026,-8400.00,"ANZ M-BANKING FUNDS TFER TRANSFER 681977  TO 4564X",Financial & Insurance,Transfer,ANZ Offset 2026-02.csv,false,false
24,12/02/2026,-402.04,"PAYMENT TO BUPA AUSTRALIA   661368390000188000",Financial & Insurance,Health insurance,ANZ Offset 2026-02.csv,false,false
25,12/02/2026,-150.00,"ANZ INTERNET BANKING PAYMENT 211935 TO ELLA MOODIE",Children,Child support payment,ANZ Offset 2026-02.csv,false,false
26,12/02/2026,6350.03,"PAY/SALARY FROM TALENT INTERNATI 500011896",Income,Your take-home pay,ANZ Offset 2026-02.csv,false,false
27,05/02/2026,-150.00,"ANZ INTERNET BANKING PAYMENT 701230 TO ELLA MOODIE",Children,Child support payment,ANZ Offset 2026-02.csv,false,false
28,03/02/2026,-9700.00,"ANZ M-BANKING FUNDS TFER TRANSFER 508136  TO 4564X",Financial & Insurance,Transfer,ANZ Offset 2026-02.csv,false,false
29,30/01/2026,-203.87,"GLOW UP                   YANDINA",Eating-out & Entertainment,Restaurants,ANZ Credit Card 2026-01.csv,false,false
30,30/01/2026,-16.09,"SQ *AN NAM VIETNAMESE KIT Sippy Downs",Eating-out & Entertainment,Lunches bought,ANZ Credit Card 2026-01.csv,false,false
31,30/01/2026,-171.81,"SUNCORP INSURANCE         BRISBANE CITY",Financial & Insurance,Home & contents insurance,ANZ Credit Card 2026-01.csv,false,false
32,30/01/2026,-45.45,"SECURE PARKING PTY LTD    NORTH SYDNEY",Car & Transport,Road tolls & parking,ANZ Credit Card 2026-01.csv,false,false
33,30/01/2026,-100.03,"AMRITYU PTY LTD           BOKARINA",Car & Transport,Petrol,ANZ Credit Card 2026-01.csv,false,false
34,30/01/2026,-18.9,"POINT PARKING             KAWANA",Car & Transport,Road tolls & parking,ANZ Credit Card 2026-01.csv,false,false
35,30/01/2026,-16.6,"POINTPARKING NAMBOUR      NAMBOUR",Car & Transport,Road tolls & parking,ANZ Credit Card 2026-01.csv,false,false
36,29/01/2026,-40.2,"THE BOATSHED              COTTON TREE",Eating-out & Entertainment,Restaurants,ANZ Credit Card 2026-01.csv,false,false
37,29/01/2026,-64,"SP BANDIFY AUSTRALIA      AIRPORT WEST",Medical, personal & education,Computers & gadgets,ANZ Credit Card 2026-01.csv,false,false
38,29/01/2026,-23.75,"MCDONALDS SIPPY DOWN      SIPPY DOWNS",Eating-out & Entertainment,Take-away & snacks,ANZ Credit Card 2026-01.csv,false,false
39,29/01/2026,-57,"CHANCE PARK CHM PHARM     SIPPY DOWNS",Medical, personal & education,Medicines & pharmacy,ANZ Credit Card 2026-01.csv,false,false
40,29/01/2026,-13.5,"THEPICKLEB* EVT SOCIAL    NAMBOUR",Medical, personal & education,Sports & gym,ANZ Credit Card 2026-01.csv,false,false
41,29/01/2026,-13.5,"THEPICKLEB* EVT SOCIAL    NAMBOUR",Medical, personal & education,Sports & gym,ANZ Credit Card 2026-01.csv,false,false
42,28/01/2026,-800,"Coles Group Limited -     Hawthorn East",Eating-out & Entertainment,Celebrations & gifts,ANZ Credit Card 2026-01.csv,false,false
43,28/01/2026,-64,"FITSTOP SIPPY DO          SUNSHINE COAS",Medical, personal & education,Sports & gym,ANZ Credit Card 2026-01.csv,false,false
44,28/01/2026,-64,"FITSTOP SIPPY DO          SUNSHINE COAS",Medical, personal & education,Sports & gym,ANZ Credit Card 2026-01.csv,false,false
45,28/01/2026,-4.05,"MEGA FRESH FOOD MARKET    MOUNTAIN CREE",Groceries,Supermarket,ANZ Credit Card 2026-01.csv,false,false
46,28/01/2026,-50.36,"BUNNINGS 490000           MAROOCHYDORE",Home & utilities,Home improvements & Maintenance,ANZ Credit Card 2026-01.csv,false,false
47,27/01/2026,-170,"BWS/163 KARAWATHA ST - SH BUDERIM",Eating-out & Entertainment,Drinks & alcohol,ANZ Credit Card 2026-01.csv,false,false
48,27/01/2026,-181.77,"COLES 4647                SIPPY DOWNS",Groceries,Supermarket,ANZ Credit Card 2026-01.csv,false,false
49,27/01/2026,-54.15,"WOOLWORTHS/KARAWATHA DR & MOUNTAIN CRK",Groceries,Supermarket,ANZ Credit Card 2026-01.csv,false,false
50,27/01/2026,-90.45,"SQ *AN NAM VIETNAMESE KIT Sippy Downs",Eating-out & Entertainment,Lunches bought,ANZ Credit Card 2026-01.csv,false,false
51,27/01/2026,-25.46,"COLES 4647                SIPPY DOWNS",Groceries,Supermarket,ANZ Credit Card 2026-01.csv,false,false
52,27/01/2026,-45.45,"ZLR*Somewhere On Buderi   Buderim",Eating-out & Entertainment,Restaurants,ANZ Credit Card 2026-01.csv,false,false
53,27/01/2026,-5.31,"SFS THE CONTAINER BY      BIRTINYA",Eating-out & Entertainment,Coffee & tea,ANZ Credit Card 2026-01.csv,false,false
54,27/01/2026,-82.32,"THE FOREST BLEND CAFE     FOREST GLEN",Eating-out & Entertainment,Coffee & tea,ANZ Credit Card 2026-01.csv,false,false
55,27/01/2026,-7.2,"WOOLWORTHS/KARAWATHA DR & MOUNTAIN CRK",Groceries,Supermarket,ANZ Credit Card 2026-01.csv,false,false
56,27/01/2026,-20.99,"Netflix.com               Melbourne",Home & utilities,Streaming Services,ANZ Credit Card 2026-01.csv,false,false
57,27/01/2026,-18,"THEPICKLEB* EVT SOCIAL    NAMBOUR",Medical, personal & education,Sports & gym,ANZ Credit Card 2026-01.csv,false,false
58,27/01/2026,-18,"THEPICKLEB* EVT SOCIAL    NAMBOUR",Medical, personal & education,Sports & gym,ANZ Credit Card 2026-01.csv,false,false
59,27/01/2026,-18,"THEPICKLEB* EVT SOCIAL    NAMBOUR",Medical, personal & education,Sports & gym,ANZ Credit Card 2026-01.csv,false,false
60,27/01/2026,-53.4,"WOOLWORTHS/KARAWATHA DR & MOUNTAIN CRK",Groceries,Supermarket,ANZ Credit Card 2026-01.csv,false,false
61,27/01/2026,-80.85,"COLES 7835                BUDERIM",Groceries,Supermarket,ANZ Credit Card 2026-01.csv,false,false
62,27/01/2026,-33.47,"DBS*Goodlife Queen Str    Brisbane",Medical, personal & education,Sports & gym,ANZ Credit Card 2026-01.csv,false,false
63,27/01/2026,-50.35,"LINKT BRISBANE            BRISBANE",Car & Transport,Road tolls & parking,ANZ Credit Card 2026-01.csv,false,false
64,27/01/2026,-18,"THEPICKLEB* EVT SOCIAL    NAMBOUR",Medical, personal & education,Sports & gym,ANZ Credit Card 2026-01.csv,false,false
65,27/01/2026,-13.4,"MCDONALDS SOUTHBANK       SOUTH BRISBAN",Eating-out & Entertainment,Take-away & snacks,ANZ Credit Card 2026-01.csv,false,false
66,27/01/2026,-5.59,"SMP*Jamoke Espresso Ba    Nambour",Eating-out & Entertainment,Coffee & tea,ANZ Credit Card 2026-01.csv,false,false
67,27/01/2026,-96.75,"AMPOL SIPPY DOW 10262F    SIPPY DOWNS",Car & Transport,Petrol,ANZ Credit Card 2026-01.csv,false,false
68,23/01/2026,-9.99,"AMZNPRIMEA* AMZNPRIMEA    SYDNEY SOUTH",Eating-out & Entertainment,Movies, shows & music,ANZ Credit Card 2026-01.csv,false,false
69,23/01/2026,-20,"SOUTHBANK CARPARK         SOUTH BANK",Car & Transport,Road tolls & parking,ANZ Credit Card 2026-01.csv,false,false
70,23/01/2026,-13.2,"ROSE & CROWN              South Brisban",Eating-out & Entertainment,Bars & clubs,ANZ Credit Card 2026-01.csv,false,false
71,23/01/2026,-13.72,"Mebami                    South Brisban",Eating-out & Entertainment,Lunches bought,ANZ Credit Card 2026-01.csv,false,false
72,23/01/2026,-6.12,"SQ *BLACK FOX             Mooloolaba",Eating-out & Entertainment,Coffee & tea,ANZ Credit Card 2026-01.csv,false,false
73,23/01/2026,-480,"COASTAL AESTHETIC INJE    MAROOCHYDORE",Medical, personal & education,Hair & beauty,ANZ Credit Card 2026-01.csv,false,false
74,22/01/2026,129.95,"MYER  MAROOCHYDORE        MAROOCHYDORE",Medical, personal & education,Shopping,ANZ Credit Card 2026-01.csv,false,false
75,22/01/2026,-47.45,"COLES 4523                MAROOCHYDORE",Groceries,Supermarket,ANZ Credit Card 2026-01.csv,false,false
76,22/01/2026,-30,"TARGET 5038               MAROOCHYDORE",Medical, personal & education,Shopping,ANZ Credit Card 2026-01.csv,false,false
77,22/01/2026,-24,"KMART 1060                MAROOCHYDORE",Medical, personal & education,Shopping,ANZ Credit Card 2026-01.csv,false,false
78,22/01/2026,-253.94,"MYER  MAROOCHYDORE        MAROOCHYDORE",Medical, personal & education,Shopping,ANZ Credit Card 2026-01.csv,false,false
